playernum,dmbunivid,sportsinteractive
24452,24452,
24454,24454,
25270,25270,
24506,24506,997
19004,19004,998
13559,13559,999
25098,25098,1000
17291,17291,
21360,21360,1002
25368,25368,1003
24563,24563,1004
21349,21349,1005
26029,26029,1006
12616,12616,1007
24752,24752,1008
26044,26044,1009
10373,10373,1010
14467,14467,
21066,21066,
24693,24693,1013
24765,24765,1014
25733,25733,1015
15574,15574,1016
20717,20717,1017
23859,23859,1018
15604,15604,
11232,11232,
15119,15119,
24897,24897,1022
25815,25815,1023
25222,25222,
25781,25781,1025
19457,19457,
24474,24474,
24849,24849,1028
24527,24527,
20169,20169,
10176,10176,1031
15672,15672,1032
23350,23350,1033
25414,25414,1034
25011,25011,1035
24558,24558,
25464,25464,1037
12094,12094,1038
12328,12328,1039
24798,24798,
12569,12569,1041
14444,14444,1042
17943,17943,
23376,23376,
25979,25979,
23858,23858,1046
24805,24805,1047
25026,25026,
25447,25447,
24870,24870,1051
25654,25654,1052
25689,25689,
12316,12316,1054
25117,25117,1055
25339,25339,
20957,20957,1057
21896,21896,1058
21637,21637,
26027,26027,1060
24699,24699,
24931,24931,1062
24812,24812,
14973,14973,
26024,26024,1065
24825,24825,
24838,24838,1067
25751,25751,
25065,25065,1069
24882,24882,
25767,25767,1071
16960,16960,1072
25998,25998,
25909,25909,
24725,24725,
25172,25172,
22954,22954,
24478,24478,
23076,23076,1079
22217,22217,1080
10177,10177,
25901,25901,
25361,25361,1083
25845,25845,
25744,25744,
13778,13778,
24667,24667,1088
15461,15461,1089
25299,25299,
25475,25475,
25799,25799,1092
24580,24580,1093
25178,25178,1094
25180,25180,1095
24592,24592,1096
25694,25694,1097
25192,25192,1098
22639,22639,1099
26062,26062,
25203,25203,1101
25544,25544,1102
24637,24637,1103
25054,25054,
25568,25568,
24717,24717,
24865,24865,
10266,10266,
24686,24686,1110
25627,25627,
26047,26047,1112
20825,20825,
24977,24977,1114
22458,22458,1116
25548,25548,1117
13806,13806,1118
14974,14974,1119
26018,26018,
25389,25389,1121
13547,13547,
25610,25610,1123
24688,24688,1124
24944,24944,1125
25955,25955,
15824,15824,1127
25836,25836,
25041,25041,
14020,14020,1130
16672,16672,
25986,25986,
24704,24704,1134
19976,19976,1135
20718,20718,1136
26040,26040,
22236,22236,1138
25817,25817,
23092,23092,1140
24792,24792,1141
25772,25772,
18204,18204,
25510,25510,1144
25919,25919,
22584,22584,1146
25108,25108,1147
25112,25112,1148
10065,10065,1149
19235,19235,
25987,25987,
21882,21882,1152
25434,25434,
25092,25092,1154
20608,20608,
25802,25802,1157
21327,21327,1158
25813,25813,1159
23452,23452,1160
24214,24214,1161
25487,25487,1162
18164,18164,1163
11207,11207,
25451,25451,1165
24661,24661,
24488,24488,1167
24690,24690,1168
15931,15931,1169
16152,16152,1170
16553,16553,1171
20462,20462,1172
24754,24754,1173
25683,25683,
22511,22511,
23306,23306,
24602,24602,1177
24384,24384,1178
25047,25047,
14719,14719,1180
14829,14829,1181
17249,17249,
24720,24720,1184
20487,20487,1185
25821,25821,1186
20140,20140,1187
25142,25142,
25829,25829,
25008,25008,
24431,24431,1191
12302,12302,1192
25440,25440,1193
24485,24485,1194
22763,22763,
25961,25961,
24159,24159,1197
24694,24694,1198
25256,25256,
14343,14343,
25878,25878,1202
25452,25452,1203
24898,24898,1204
24541,24541,
25796,25796,
24974,24974,
16087,16087,
15877,15877,
26058,26058,1210
26065,26065,
24561,24561,1212
25231,25231,
24861,24861,1214
19709,19709,1215
20127,20127,1216
25687,25687,1217
25713,25713,1219
24502,24502,1220
25707,25707,
23243,23243,1222
24837,24837,1223
25204,25204,1224
25200,25200,1225
24834,24834,
25144,25144,1227
26034,26034,
26054,26054,
25354,25354,
25823,25823,1232
12070,12070,1233
24490,24490,1234
24929,24929,1235
25127,25127,1236
24535,24535,
25133,25133,
25442,25442,1239
24678,24678,
24529,24529,
24874,24874,1242
26080,26080,
25074,25074,1244
12608,12608,1245
26030,26030,
26051,26051,
24655,24655,
10523,10523,
25839,25839,1252
25762,25762,
25168,25168,1254
10201,10201,
24464,24464,1256
24491,24491,
26052,26052,1258
24010,24010,1259
20141,20141,
25700,25700,1261
25565,25565,1262
